PRMINFO,index,address,xnum,ynum,minimum,maximum,default,,unit,type,attrib,scaling
,31,MIXER:Current/StIn/Surr/COn,16,1,0,1,1,,integer,any,rw,1
,28,MIXER:Current/StIn/Surr/Div,16,1,0,100,100,,integer,any,rw,1
,26,MIXER:Current/StIn/Surr/FRPan,16,1,-63,63,0,,integer,any,rw,1
,27,MIXER:Current/StIn/Surr/FRPanRev,16,1,-63,63,0,,integer,any,rw,1
,35,MIXER:Current/StIn/Surr/LFELevel,16,1,-32768,1000,-32768,,integer,any,rw,1
,32,MIXER:Current/StIn/Surr/LFEOn,16,1,0,1,1,,integer,any,rw,1
,29,MIXER:Current/StIn/Surr/LOn,16,1,0,1,1,,integer,any,rw,1
,25,MIXER:Current/StIn/Surr/LRPan,16,1,-63,63,0,,integer,any,rw,1
,33,MIXER:Current/StIn/Surr/LsOn,16,1,0,1,1,,integer,any,rw,1
,30,MIXER:Current/StIn/Surr/ROn,16,1,0,1,1,,integer,any,rw,1
,34,MIXER:Current/StIn/Surr/RsOn,16,1,0,1,1,,integer,any,rw,1
,223,MIXER:Current/StIn/ToMix/Level,16,24,-32768,1000,-32768,,integer,any,rw,1
,224,MIXER:Current/StIn/ToMix/On,16,24,0,1,1,,integer,any,rw,1
,76,MIXER:Current/StIn/ToMtrx/Level,16,8,-32768,1000,-32768,,integer,any,rw,1
,77,MIXER:Current/StIn/ToMtrx/On,16,8,0,1,1,,integer,any,rw,1
,12,MIXER:Current/StIn/ToSt/Pan,16,1,-63,63,0,,integer,any,rw,1
,62,MIXER:Current/StInCh/DCA/Assign,16,16,0,1,0,,integer,any,rw,1
,54,MIXER:Current/StInCh/Dyna1/Threshold,16,1,-720,0,-260,,integer,any,rw,1
,53,MIXER:Current/StInCh/Dyna1/Type,16,1,0,10,Gate,,string,any,rw,1
,56,MIXER:Current/StInCh/Dyna2/Threshold,16,1,-540,0,-80,,integer,any,rw,1
,55,MIXER:Current/StInCh/Dyna2/Type,16,1,0,11,Compressor,,string,any,rw,1
,1,MIXER:Current/StInCh/Fader/Level,16,1,-32768,1000,-32768,,integer,any,rw,1
,6,MIXER:Current/StInCh/Fader/On,16,1,0,1,1,,integer,any,rw,1
,72,MIXER:Current/StInCh/Label/Color,16,1,0,7,Blue,,string,any,rw,1
,143,MIXER:Current/StInCh/Label/Icon,16,1,0,12,Effect,,string,any,rw,1
,66,MIXER:Current/StInCh/Label/Name,16,1,0,8,Rt1L,,string,any,rw,1
,17,MIXER:Current/StInCh/Out/Balance,16,1,-63,63,0,,integer,any,rw,1
,15,MIXER:Current/StInCh/PanMode,16,1,0,1,0,,integer,any,r,1
,139,MIXER:Current/StInCh/Patch,16,1,0,8,"FX5,L(A)",,string,any,rw,1
,52,MIXER:Current/StInCh/Port/HA/Gain,16,1,-600,6600,-600,,integer,any,rw,1
,18,MIXER:Current/StInCh/Role,16,1,0,7,StereoL,,string,any,r,1
,47,MIXER:Current/StInCh/Surr/COn,16,1,0,1,1,,integer,any,rw,1
,44,MIXER:Current/StInCh/Surr/Div,16,1,0,100,100,,integer,any,rw,1
,42,MIXER:Current/StInCh/Surr/FRPan,16,1,-63,63,0,,integer,any,rw,1
,43,MIXER:Current/StInCh/Surr/FRPanRev,16,1,-63,63,0,,integer,any,rw,1
,51,MIXER:Current/StInCh/Surr/LFELevel,16,1,-32768,1000,-32768,,integer,any,rw,1
,48,MIXER:Current/StInCh/Surr/LFEOn,16,1,0,1,1,,integer,any,rw,1
,45,MIXER:Current/StInCh/Surr/LOn,16,1,0,1,1,,integer,any,rw,1
,41,MIXER:Current/StInCh/Surr/LRPan,16,1,-63,63,0,,integer,any,rw,1
